Blog	four	looking	second	here	kids	k	music	until	example	want	feature	wrong	series	re	wasn	service	person	came	saying	best	asked	much	life	worked	things	had	easy	possible	right	old	people	continue	support	happy	inside	later	team	love	working	following	awesome	such	data	years	course	didn	internet	million	quite	open	city	future	note	take	going	where	many	wants	photos	former	technology	being	around	world	power	industry	favorite	her	complete	am	having	tv	th	large	small	past	full	hours	social	via	company	learn	huge	its	entire	always	found	really	try	obama	also	play	plan	sometimes	set	see	project	movie	available	last	let	whole	blog	recent	amp	couple	d	by	anything	into	link	line	posted	up	us	customers	ago	age	results	video	great	makes	tools	next	process	high	perfect	doing	could	david	start	lot	face	fact	should	hope	means	stuff	email	ve	off	less	web	five	become	does	monday	announced	told	search	work	interview	after	order	office	then	them	network	another	john	do	away	voice	hand	photo	thanks	night	security	marketing	post	months	way	update	together	guy	change	live	write	product	use	still	now	drop	year	space	shows	care	couldn	yourself	ways	than	online	only	between	article	these	media	thinking	real	read	early	using	business	aren	trying	building	since	month	very	learned	family	put	takes	site	tried	help	soon	actually	food	reason	ask	american	miss	mobile	clear	latest	pretty	during	x	close	won	probably	both	battery	else	look	while	used	march	game	popular	some	run	similar	doesn	go	facebook	started	point	links	including	keep	art	long	need	based	she	key	problem	well	page	twitter	home	he	piece	star	friends	companies	likely	even	tips	ever	never	call	tell	movies	give	amazing	answer	before	better	weeks	went	side	mean	content	isn	matter	don	m	stop	bad	said	against	appeared	three	if	make	left	human	yes	yet	deal	down	daily	finally	did	visit	making	may	man	maybe	talk	nbsp	group	interesting	thing	think	first	little	anyone	were	especially	show	behind	get	enough	reading	across	according	those	different	same	running	money	either	users	videos	youtube	again	important	forget	public	two	share	needs	coming	through	good	everyone	house	hard	idea	done	least	part	b	click	build	tool	most	services	find	please	simple	create	fun	itself	yesterday	big	bit	google	often	back	single	others	control	stories	ll	day	text	taking	value	almost	com	thought	add	works	happens	buy	minutes	special	original	every	school	york	would	phone	me	my	times	end	over	writing	each	got	free	wanted	days	already	top	too	took	though	watch	report	news	been	several	able	everything	head	check	no	cool	posts	says	goes	water	today	local	information	happened	name	turn	place	given	white	any	sure	state	review	come	case	myself	someone	week	without	seems	there	program	far	list	design	version	known	rather	short	might	number	health	feel	story	kind	nothing	his	him	wrote	user	c	reasons	questions	question	called	say	nice	once	issues	heart	app	few	something	six	instead	related	our	their	which	who	why	words	view	job	april	will	gets	other	know	because	getting	own	apps	made	whether	book
Online Marketing Report	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	2	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	2	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	3	0	0	0	0	0	0	1	0	1	0	0	2	0	3	7	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0
Creating Passionate Users	0	0	0	1	0	0	0	0	1	1	2	0	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	3	0	1	1	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	4	0	0	2	1	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	2	0	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	2	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	2	0	0	0	0	1	0	0	2	1	1	1	0	0	0	2	0	0	0	0	0	0	1	0	1	0	5	1	1	0	0	0	1	0	1	2	1	1	0	0	1	2	0	1	0	0	0	1	1	0	0	0
Bloggers Blog	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	2	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	4	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	5	0	1	0	0	0	0	0	1	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	0	0	0	0	0	0	1	0	0
Derek Powazek	0	1	0	6	1	0	0	0	0	1	0	1	0	7	1	0	0	1	0	1	0	1	5	1	1	3	2	1	4	2	2	4	0	4	0	1	0	1	0	1	1	0	0	5	1	1	1	0	0	1	0	0	0	1	4	0	1	0	2	0	0	0	1	3	0	0	0	9	0	3	0	0	0	0	2	0	1	0	0	0	1	0	0	1	0	4	1	2	1	0	2	0	0	0	0	3	0	0	1	7	1	0	1	0	0	4	2	5	1	4	2	0	1	11	4	0	2	0	0	0	5	0	0	1	1	1	1	1	1	0	0	1	1	0	1	2	0	1	0	11	1	1	1	0	0	0	0	1	0	0	3	0	4	0	0	7	2	1	3	0	7	1	0	1	0	0	2	0	1	3	2	0	1	1	1	1	2	3	1	0	4	10	0	4	0	0	0	0	1	1	2	2	1	4	0	2	2	1	0	0	1	1	1	0	0	0	1	0	1	0	1	1	0	2	0	0	1	0	1	0	1	0	1	0	1	0	0	0	0	1	0	1	2	0	1	0	1	1	0	0	0	3	0	0	0	4	0	2	0	0	0	0	0	1	1	0	7	1	0	2	1	1	0	5	0	0	2	0	0	1	0	1	3	1	0	0	0	2	1	1	0	2	3	0	0	1	0	0	4	12	0	3	3	1	0	4	9	1	1	0	1	1	1	2	0	0	4	1	0	0	1	1	3	0	0	0	4	4	3	7	0	2	2	3	0	6	5	4	0	0	1	0	3	0	3	0	0	0	1	2	0	1	0	9	1	0	1	1	1	1	0	3	0	1	0	2	0	0	0	0	2	0	1	0	1	2	0	2	0	1	0	0	2	2	1	0	0	1	4	2	0	1	0	1	1	1	0	0	1	1	1	2	0	3	0	0	0	0	15	22	1	0	5	2	1	1	0	0	4	1	2	2	3	0	1	0	1	8	0	1	2	0	0	2	2	0	0	2	0	2	0	0	0	0	0	0	0	1	0	1	0	0	3	0	0	0	3	0	0	7	0	0	0	1	0	0	0	1	1	1	0	5	3	1	0	3	2	1	0	0	0	1	0	0	3	2	2	2	0	0	5	8	2	0	0	3	4	2	1	1	0	0	1	0	5	2	3	6	3	2	2	0	2	0	6
Jeremy Zawodny's blog	1	2	3	6	0	0	0	4	0	3	0	5	1	5	2	2	2	1	0	2	4	4	1	3	5	17	0	2	5	0	6	0	0	2	1	2	3	0	4	1	2	3	4	8	3	11	2	0	1	0	0	2	4	3	8	8	3	2	5	1	0	4	3	1	0	1	2	1	2	4	5	0	0	2	5	0	3	0	1	1	2	0	0	0	3	1	1	12	4	0	7	0	0	0	4	10	0	0	2	2	0	1	3	2	0	2	13	8	2	9	0	14	0	24	28	2	6	0	1	0	2	4	2	5	0	6	1	2	13	0	1	7	1	3	6	0	1	2	3	7	5	1	0	0	0	3	0	0	2	1	6	0	11	0	1	16	7	4	4	0	6	4	0	3	0	2	2	0	0	2	0	13	0	2	0	1	0	2	1	10	4	5	2	2	0	0	0	1	1	0	4	0	7	2	0	1	1	1	1	3	0	4	4	0	3	0	7	0	16	2	0	2	0	1	1	5	1	1	0	1	1	0	2	0	3	0	1	2	3	0	0	6	4	0	1	0	6	1	0	0	0	22	1	0	1	9	0	1	4	0	0	2	0	10	5	0	2	0	2	7	0	1	1	9	0	0	0	0	2	4	0	3	3	1	0	0	3	0	0	12	2	2	6	1	1	1	0	1	1	6	1	0	2	1	3	1	18	4	4	0	0	2	0	25	0	1	7	2	1	5	0	3	3	0	4	3	3	3	13	2	2	24	2	0	4	16	2	4	8	0	2	1	3	1	0	3	2	2	0	0	4	1	2	6	0	0	3	2	6	4	0	5	2	0	0	0	1	0	1	0	8	0	2	3	0	0	3	1	2	0	11	0	2	16	1	3	2	1	8	8	0	1	7	0	0	0	0	0	2	3	4	0	1	1	0	0	8	0	17	21	3	5	9	0	5	8	1	0	0	1	4	5	6	1	1	0	0	6	3	0	2	1	2	5	1	0	0	0	13	3	1	1	2	3	4	1	0	0	2	3	0	0	1	1	3	0	4	1	3	19	0	2	1	0	0	1	1	3	2	2	0	1	0	0	0	10	4	1	0	0	0	1	0	2	6	3	1	0	1	0	13	7	0	3	1	22	13	9	5	5	0	1	1	0	12	1	8	5	6	6	0	0	7	0	1
@ProBlogger	0	0	0	2	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	2	3	1	0	0	1	0	0	2	1	4	0	0	0	0	1	1	7	2	2	2	0	0	4	0	0	4	0	0	1	0	1	0	1	2	3	5	0	1	0	0	0	3	4	0	0	0	0	0	0	0	0	0	1	2	0	6	0	5	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	1	2	1	39	0	0	0	4	1	1	2	0	0	0	8	1	2	0	0	0	0	3	1	3	5	0	2	1	0	3	0	0	1	0	0	1	0	0	0	1	4	0	0	0	0	1	0	0	0	1	0	1	0	1	1	0	1	2	0	0	0	4	0	0	0	0	0	0	0	7	10	0	3	0	0	0	0	0	8	0	4	0	0	0	2	0	0	0	1	0	2	3	8	0	0	0	1	5	0	1	0	0	1	5	0	0	4	0	0	0	0	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	3	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	0	0	1	1	0	0	0	1	0	3	26	3	2	0	0	0	0	1	3	0	2	0	2	0	0	11	0	0	2	0	2	0	0	0	0	0	7	2	0	0	0	1	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	3	3	2	0	0	0	1	1	6	1	0	0	0	2	0	0	0	2	0	0	0	0	0	1	0	0	2	2	0	1	1	2	0	0	1	6	1	0	0	0	0	2	0	3	1	2	0	2	3	0	0	1	2	0	0	1	3	0	1	0	0	1	2	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	4	10	0	0	2	5	0	1	5	0	0	0	8	3	0	0	0	0	0	2	0	1	1	0	1	2	0	3	0	0	0	2	1	0	0	0	0	0	0	1	1	1	0	0	1	0	0	0	0	0	0	3	0	0	0	2	0	0	0	0	2	1	0	1	1	0	0	1	0	0	0	0	1	0	5	0	1	0	0	0	1	0	1	1	0	1	0	0	2	1	6	2	2	0	1	0	0	0	2	3	1	4	1	0	0	1	0
Captain's Quarters	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	2	0	0	0	1	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	1	1	0	0	1	0	1	1	1	0	1	3	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	0	0	0	1	1	0	2	0	0	1	2	0	0	0	2	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	2	0	0	0	0	1	0	0	0	1	3	0	0	0	1	0	0	1	0	0	0	6	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	3	1	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	2	0	0	1	0	1	1	0	1	0	0	0	1	0	0	0	0	1	2	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	4	0	1	6	1	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	1	0	6	0	1	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0
plasticbag.org	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	1	0	1	1	0	0	1	0	4	0	1	0	0	0	0	0	1	0	1	0	0	2	0	1	0	0	0	0	0	0	0	2	5	0	2	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	0	3	2	0	0	1	1	1	0	1	0	0	0	2	2	0	1	0	0	0	1	0	0	0	0	0	0	1	3	1	0	0	0	1	2	0	0	1	0	3	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	3	0	1	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	1	0	0	0	2	1	0	0	6	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	6	0	0	1	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	1	0	1	2	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	2	0	0	0	0	0	1	0	0	1	1	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	2	0	1	1	3	0	0	0	0	0	2	0	0	1	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	3	1	0	0	0	0	0	2	0	0	2	0	1	0	0	1	0	0
ThinkProgress	3	0	1	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	3	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	0	1	0	5	1	0	0	0	0	0	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	2	3	2	0	0	1	0	3	1	0	0	0	1	0	0	1	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	1	0	0	2	2	0	0	0	1	0	0	0	20	0	0	0	0	0	1	0	0	0	0	2	0	0	3	0	2	0	2	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	2	0	0	1	0	0	2	0	0	0	0	5	0	0	2	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	1	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	0	1	0	0	0	0	1	20	0	1	2	0	0	1	0	0	0	0	2	0	0	0	3	0	0	0	0	2	0	0	0	20	0	0	0	0	1	0	4	0	0	1	1	0	0	0	2	0	0	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	4	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	1	2	2	0	0	0	2	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	6	0	1	4	0	1	3	0	2	0	0	0	0	0	2	0	0	0	0
blog maverick	0	0	0	2	0	0	0	0	1	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	3	4	0	0	1	5	1	0	0	0	0	0	0	1	0	0	0	3	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	1	3	0	3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	2	1	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	2	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	1	1	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	1	0	0	0	0	0	2	2	0	1	0	0	1	2	0	0	1	0	0	3	0	0	0	2	0	0	0	0	1	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	4	1	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	7	0	1	2	0	0	1	0	0	0	1	0	1	2	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0	0	0	0	2	0	2	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	2	0	1	2	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	1	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	1	2	0	1	3	0	0	0	0	1	0	0	3	1	1	0	0	1	0	1
gapingvoid: "cartoons drawn on the back of business cards"	1	0	0	6	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	1	0	2	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	2	0	1	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	2	0	0	0	2	0	1	1	0	0	0	1	0	0	0	0	0	0	6	0	0	2	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	0	0	4	1	2	3	2	0	0	1	0	0	0	0	0	3	2	0	0	0	0	0	0	2	0	0	0	0	0	0	1	1	3	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	2	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	3	0	0	0	1	0	0	2	1	4	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	2	2	1	1	0	2	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	2	0	0	0	0	7	0	1	0	0	0	0	0	0	0	1	1	0	1	8	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	2	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	4	5	0	1	1	1	1	1	2	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	5	0	2	1	0	0	2	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	1	0	1	0	4
Topix Blog	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	0	0	3	0	0	3	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	2	0	2	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	2	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	3	0	0	0	1	0	0	2	0	1	3	3	0	0	0	2	0	0	0	1	0	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	2	0	3	0	2	0	0	0	0	0	4	0	2	1	0	0	0	0	0	1	1	1	0	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	2	0	1	0	0	0	3	1	0	0	0	0	0	0	1	0	1	0	1	0	0	2	0	0	1	1	0	1	0	0	0	0	0	0	0	2	1	1	0	0	1	0	0	1	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	0	0	1	0	1	0	0	1	5	1	0	0	0	0	0	0	0	0	1	0	0	1	7	0	0	0	0	0	0	2	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	1	3	0	0	0	1	0	0	0	6	3	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
